document_name,author,words
A Study in Scarlet,Arthur Conan Doyle,"['As', 'they', 'raised', 'him', 'a', 'ring', 'tinkled', 'down', 'and', 'rolled', 'across', 'the', 'floor']"
A Study in Scarlet,Arthur Conan Doyle,"['Lestrade', 'grabbed', 'it', 'up', 'and', 'stared', 'at', 'it', 'with', 'mystified', 'eyes']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 's', 'been', 'a', 'woman', 'here', 'he', 'cried']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 's', 'a', 'woman', 's', 'wedding', 'ring', 'He', 'held', 'it', 'out', 'as', 'he', 'spoke', 'upon', 'the', 'palm', 'of', 'his', 'hand']"
A Study in Scarlet,Arthur Conan Doyle,"['We', 'all', 'gathered', 'round', 'him', 'and', 'gazed', 'at', 'it']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 'could', 'be', 'no', 'doubt', 'that', 'that', 'circlet', 'of', 'plain', 'gold', 'had', 'once', 'adorned', 'the', 'finger', 'of', 'a', 'bride']"
A Study in Scarlet,Arthur Conan Doyle,"['This', 'complicates', 'matters', 'said', 'Gregson']"
A Study in Scarlet,Arthur Conan Doyle,"['Heaven', 'knows', 'they', 'were', 'complicated', 'enough', 'before', 'You', 're', 'sure', 'it', 'doesn', 't', 'simplify', 'them', 'observed', 'Holmes']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 's', 'nothing', 'to', 'be', 'learned', 'by', 'staring', 'at', 'it']"
A Study in Scarlet,Arthur Conan Doyle,"['What', 'did', 'you', 'find', 'in', 'his', 'pockets', 'We', 'have', 'it', 'all', 'here', 'said', 'Gregson', 'pointing', 'to', 'a', 'litter', 'of', 'objects', 'upon', 'one', 'of', 'the', 'bottom', 'steps', 'of', 'the', 'stairs']"
A Study in Scarlet,Arthur Conan Doyle,"['A', 'gold', 'watch', 'No']"
A Study in Scarlet,Arthur Conan Doyle,"['by', 'Barraud', 'of', 'London']"
A Study in Scarlet,Arthur Conan Doyle,"['Gold', 'Albert', 'chain', 'very', 'heavy', 'and', 'solid']"
A Study in Scarlet,Arthur Conan Doyle,"['Gold', 'ring', 'with', 'masonic', 'device']"
A Study in Scarlet,Arthur Conan Doyle,"['Gold', 'pin', 'bull', 'dog', 's', 'head', 'with', 'rubies', 'as', 'eyes']"
A Study in Scarlet,Arthur Conan Doyle,"['Russian', 'leather', 'card', 'case', 'with', 'cards', 'of', 'Enoch', 'J']"
A Study in Scarlet,Arthur Conan Doyle,"['Drebber', 'of', 'Cleveland', 'corresponding', 'with', 'the', 'E']"
A Study in Scarlet,Arthur Conan Doyle,['J']
A Study in Scarlet,Arthur Conan Doyle,['D']
A Study in Scarlet,Arthur Conan Doyle,"['upon', 'the', 'linen']"
A Study in Scarlet,Arthur Conan Doyle,"['No', 'purse', 'but', 'loose', 'money', 'to', 'the', 'extent', 'of', 'seven', 'pounds', 'thirteen']"
A Study in Scarlet,Arthur Conan Doyle,"['Pocket', 'edition', 'of', 'Boccaccio', 's', 'Decameron', 'with', 'name', 'of', 'Joseph', 'Stangerson', 'upon', 'the', 'fly', 'leaf']"
A Study in Scarlet,Arthur Conan Doyle,"['Two', 'letters', 'one', 'addressed', 'to', 'E']"
A Study in Scarlet,Arthur Conan Doyle,['J']
A Study in Scarlet,Arthur Conan Doyle,"['Drebber', 'and', 'one', 'to', 'Joseph', 'Stangerson', 'At', 'what', 'address', 'American', 'Exchange', 'Strand', 'to', 'be', 'left', 'till', 'called', 'for']"
A Study in Scarlet,Arthur Conan Doyle,"['They', 'are', 'both', 'from', 'the', 'Guion', 'Steamship', 'Company', 'and', 'refer', 'to', 'the', 'sailing', 'of', 'their', 'boats', 'from', 'Liverpool']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 'is', 'clear', 'that', 'this', 'unfortunate', 'man', 'was', 'about', 'to', 'return', 'to', 'New', 'York', 'Have', 'you', 'made', 'any', 'inquiries', 'as', 'to', 'this', 'man', 'Stangerson', 'I', 'did', 'it', 'at', 'once', 'sir', 'said', 'Gregson']"
A Study in Scarlet,Arthur Conan Doyle,"['I', 'have', 'had', 'advertisements', 'sent', 'to', 'all', 'the', 'newspapers', 'and', 'one', 'of', 'my', 'men', 'has', 'gone', 'to', 'the', 'American', 'Exchange', 'but', 'he', 'has', 'not', 'returned', 'yet', 'Have', 'you', 'sent', 'to', 'Cleveland', 'We', 'telegraphed', 'this', 'morning', 'How', 'did', 'you', 'word', 'your', 'inquiries', 'We', 'simply', 'detailed', 'the', 'circumstances', 'and', 'said', 'that', 'we', 'should', 'be', 'glad', 'of', 'any', 'information', 'which', 'could', 'help', 'us', 'You', 'did', 'not', 'ask', 'for', 'particulars', 'on', 'any', 'point', 'which', 'appeared', 'to', 'you', 'to', 'be', 'crucial', 'I', 'asked', 'about', 'Stangerson', 'Nothing', 'else']"
A Study in Scarlet,Arthur Conan Doyle,"['Is', 'there', 'no', 'circumstance', 'on', 'which', 'this', 'whole', 'case', 'appears', 'to', 'hinge']"
A Study in Scarlet,Arthur Conan Doyle,"['Will', 'you', 'not', 'telegraph', 'again', 'I', 'have', 'said', 'all', 'I', 'have', 'to', 'say', 'said', 'Gregson', 'in', 'an', 'offended', 'voice']"
A Study in Scarlet,Arthur Conan Doyle,"['Sherlock', 'Holmes', 'chuckled', 'to', 'himself', 'and', 'appeared', 'to', 'be', 'about', 'to', 'make', 'some', 'remark', 'when', 'Lestrade', 'who', 'had', 'been', 'in', 'the', 'front', 'room', 'while', 'we', 'were', 'holding', 'this', 'conversation', 'in', 'the', 'hall', 'reappeared', 'upon', 'the', 'scene', 'rubbing', 'his', 'hands', 'in', 'a', 'pompous', 'and', 'self', 'satisfied', 'manner']"
A Study in Scarlet,Arthur Conan Doyle,['Mr']
A Study in Scarlet,Arthur Conan Doyle,"['Gregson', 'he', 'said', 'I', 'have', 'just', 'made', 'a', 'discovery', 'of', 'the', 'highest', 'importance', 'and', 'one', 'which', 'would', 'have', 'been', 'overlooked', 'had', 'I', 'not', 'made', 'a', 'careful', 'examination', 'of', 'the', 'walls', 'The', 'little', 'man', 's', 'eyes', 'sparkled', 'as', 'he', 'spoke', 'and', 'he', 'was', 'evidently', 'in', 'a', 'state', 'of', 'suppressed', 'exultation', 'at', 'having', 'scored', 'a', 'point', 'against', 'his', 'colleague']"
A Study in Scarlet,Arthur Conan Doyle,"['Come', 'here', 'he', 'said', 'bustling', 'back', 'into', 'the', 'room', 'the', 'atmosphere', 'of', 'which', 'felt', 'clearer', 'since', 'the', 'removal', 'of', 'its', 'ghastly', 'inmate']"
A Study in Scarlet,Arthur Conan Doyle,"['Now', 'stand', 'there', 'He', 'struck', 'a', 'match', 'on', 'his', 'boot', 'and', 'held', 'it', 'up', 'against', 'the', 'wall']"
A Study in Scarlet,Arthur Conan Doyle,"['Look', 'at', 'that', 'he', 'said', 'triumphantly']"
A Study in Scarlet,Arthur Conan Doyle,"['I', 'have', 'remarked', 'that', 'the', 'paper', 'had', 'fallen', 'away', 'in', 'parts']"
A Study in Scarlet,Arthur Conan Doyle,"['In', 'this', 'particular', 'corner', 'of', 'the', 'room', 'a', 'large', 'piece', 'had', 'peeled', 'off', 'leaving', 'a', 'yellow', 'square', 'of', 'coarse', 'plastering']"
A Study in Scarlet,Arthur Conan Doyle,"['Across', 'this', 'bare', 'space', 'there', 'was', 'scrawled', 'in', 'blood', 'red', 'letters', 'a', 'single', 'word', 'RACHE']"
A Study in Scarlet,Arthur Conan Doyle,"['What', 'do', 'you', 'think', 'of', 'that', 'cried', 'the', 'detective', 'with', 'the', 'air', 'of', 'a', 'showman', 'exhibiting', 'his', 'show']"
A Study in Scarlet,Arthur Conan Doyle,"['This', 'was', 'overlooked', 'because', 'it', 'was', 'in', 'the', 'darkest', 'corner', 'of', 'the', 'room', 'and', 'no', 'one', 'thought', 'of', 'looking', 'there']"
A Study in Scarlet,Arthur Conan Doyle,"['The', 'murderer', 'has', 'written', 'it', 'with', 'his', 'or', 'her', 'own', 'blood']"
A Study in Scarlet,Arthur Conan Doyle,"['See', 'this', 'smear', 'where', 'it', 'has', 'trickled', 'down', 'the', 'wall']"
A Study in Scarlet,Arthur Conan Doyle,"['That', 'disposes', 'of', 'the', 'idea', 'of', 'suicide', 'anyhow']"
A Study in Scarlet,Arthur Conan Doyle,"['Why', 'was', 'that', 'corner', 'chosen', 'to', 'write', 'it', 'on']"
A Study in Scarlet,Arthur Conan Doyle,"['I', 'will', 'tell', 'you']"
A Study in Scarlet,Arthur Conan Doyle,"['See', 'that', 'candle', 'on', 'the', 'mantelpiece']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 'was', 'lit', 'at', 'the', 'time', 'and', 'if', 'it', 'was', 'lit', 'this', 'corner', 'would', 'be', 'the', 'brightest', 'instead', 'of', 'the', 'darkest', 'portion', 'of', 'the', 'wall', 'And', 'what', 'does', 'it', 'mean', 'now', 'that', 'you', 'have', 'found', 'it', 'asked', 'Gregson', 'in', 'a', 'depreciatory', 'voice']"
A Study in Scarlet,Arthur Conan Doyle,['Mean']
A Study in Scarlet,Arthur Conan Doyle,"['Why', 'it', 'means', 'that', 'the', 'writer', 'was', 'going', 'to', 'put', 'the', 'female', 'name', 'Rachel', 'but', 'was', 'disturbed', 'before', 'he', 'or', 'she', 'had', 'time', 'to', 'finish']"
A Study in Scarlet,Arthur Conan Doyle,"['You', 'mark', 'my', 'words', 'when', 'this', 'case', 'comes', 'to', 'be', 'cleared', 'up', 'you', 'will', 'find', 'that', 'a', 'woman', 'named', 'Rachel', 'has', 'something', 'to', 'do', 'with', 'it']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 's', 'all', 'very', 'well', 'for', 'you', 'to', 'laugh', 'Mr']"
A Study in Scarlet,Arthur Conan Doyle,"['Sherlock', 'Holmes']"
A Study in Scarlet,Arthur Conan Doyle,"['You', 'may', 'be', 'very', 'smart', 'and', 'clever', 'but', 'the', 'old', 'hound', 'is', 'the', 'best', 'when', 'all', 'is', 'said', 'and', 'done', 'I', 'really', 'beg', 'your', 'pardon', 'said', 'my', 'companion', 'who', 'had', 'ruffled', 'the', 'little', 'man', 's', 'temper', 'by', 'bursting', 'into', 'an', 'explosion', 'of', 'laughter']"
A Study in Scarlet,Arthur Conan Doyle,"['You', 'certainly', 'have', 'the', 'credit', 'of', 'being', 'the', 'first', 'of', 'us', 'to', 'find', 'this', 'out', 'and', 'as', 'you', 'say', 'it', 'bears', 'every', 'mark', 'of', 'having', 'been', 'written', 'by', 'the', 'other', 'participant', 'in', 'last', 'night', 's', 'mystery']"
A Study in Scarlet,Arthur Conan Doyle,"['I', 'have', 'not', 'had', 'time', 'to', 'examine', 'this', 'room', 'yet', 'but', 'with', 'your', 'permission', 'I', 'shall', 'do', 'so', 'now', 'As', 'he', 'spoke', 'he', 'whipped', 'a', 'tape', 'measure', 'and', 'a', 'large', 'round', 'magnifying', 'glass', 'from', 'his', 'pocket']"
A Study in Scarlet,Arthur Conan Doyle,"['With', 'these', 'two', 'implements', 'he', 'trotted', 'noiselessly', 'about', 'the', 'room', 'sometimes', 'stopping', 'occasionally', 'kneeling', 'and', 'once', 'lying', 'flat', 'upon', 'his', 'face']"
A Study in Scarlet,Arthur Conan Doyle,"['So', 'engrossed', 'was', 'he', 'with', 'his', 'occupation', 'that', 'he', 'appeared', 'to', 'have', 'forgotten', 'our', 'presence', 'for', 'he', 'chattered', 'away', 'to', 'himself', 'under', 'his', 'breath', 'the', 'whole', 'time', 'keeping', 'up', 'a', 'running', 'fire', 'of', 'exclamations', 'groans', 'whistles', 'and', 'little', 'cries', 'suggestive', 'of', 'encouragement', 'and', 'of', 'hope']"
A Study in Scarlet,Arthur Conan Doyle,"['As', 'I', 'watched', 'him', 'I', 'was', 'irresistibly', 'reminded', 'of', 'a', 'pure', 'blooded', 'well', 'trained', 'foxhound', 'as', 'it', 'dashes', 'backwards', 'and', 'forwards', 'through', 'the', 'covert', 'whining', 'in', 'its', 'eagerness', 'until', 'it', 'comes', 'across', 'the', 'lost', 'scent']"
A Study in Scarlet,Arthur Conan Doyle,"['For', 'twenty', 'minutes', 'or', 'more', 'he', 'continued', 'his', 'researches', 'measuring', 'with', 'the', 'most', 'exact', 'care', 'the', 'distance', 'between', 'marks', 'which', 'were', 'entirely', 'invisible', 'to', 'me', 'and', 'occasionally', 'applying', 'his', 'tape', 'to', 'the', 'walls', 'in', 'an', 'equally', 'incomprehensible', 'manner']"
A Study in Scarlet,Arthur Conan Doyle,"['In', 'one', 'place', 'he', 'gathered', 'up', 'very', 'carefully', 'a', 'little', 'pile', 'of', 'grey', 'dust', 'from', 'the', 'floor', 'and', 'packed', 'it', 'away', 'in', 'an', 'envelope']"
A Study in Scarlet,Arthur Conan Doyle,"['Finally', 'he', 'examined', 'with', 'his', 'glass', 'the', 'word', 'upon', 'the', 'wall', 'going', 'over', 'every', 'letter', 'of', 'it', 'with', 'the', 'most', 'minute', 'exactness']"
A Study in Scarlet,Arthur Conan Doyle,"['This', 'done', 'he', 'appeared', 'to', 'be', 'satisfied', 'for', 'he', 'replaced', 'his', 'tape', 'and', 'his', 'glass', 'in', 'his', 'pocket']"
A Study in Scarlet,Arthur Conan Doyle,"['They', 'say', 'that', 'genius', 'is', 'an', 'infinite', 'capacity', 'for', 'taking', 'pains', 'he', 'remarked', 'with', 'a', 'smile']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 's', 'a', 'very', 'bad', 'definition', 'but', 'it', 'does', 'apply', 'to', 'detective', 'work', 'Gregson', 'and', 'Lestrade', 'had', 'watched', 'the', 'manoeuvres', 'of', 'their', 'amateur', 'companion', 'with', 'considerable', 'curiosity', 'and', 'some', 'contempt']"
A Study in Scarlet,Arthur Conan Doyle,"['They', 'evidently', 'failed', 'to', 'appreciate', 'the', 'fact', 'which', 'I', 'had', 'begun', 'to', 'realize', 'that', 'Sherlock', 'Holmes', 'smallest', 'actions', 'were', 'all', 'directed', 'towards', 'some', 'definite', 'and', 'practical', 'end']"
A Study in Scarlet,Arthur Conan Doyle,"['What', 'do', 'you', 'think', 'of', 'it', 'sir', 'they', 'both', 'asked']"
A Study in Scarlet,Arthur Conan Doyle,"['It', 'would', 'be', 'robbing', 'you', 'of', 'the', 'credit', 'of', 'the', 'case', 'if', 'I', 'was', 'to', 'presume', 'to', 'help', 'you', 'remarked', 'my', 'friend']"
A Study in Scarlet,Arthur Conan Doyle,"['You', 'are', 'doing', 'so', 'well', 'now', 'that', 'it', 'would', 'be', 'a', 'pity', 'for', 'anyone', 'to', 'interfere', 'There', 'was', 'a', 'world', 'of', 'sarcasm', 'in', 'his', 'voice', 'as', 'he', 'spoke']"
A Study in Scarlet,Arthur Conan Doyle,"['If', 'you', 'will', 'let', 'me', 'know', 'how', 'your', 'investigations', 'go', 'he', 'continued', 'I', 'shall', 'be', 'happy', 'to', 'give', 'you', 'any', 'help', 'I', 'can']"
A Study in Scarlet,Arthur Conan Doyle,"['In', 'the', 'meantime', 'I', 'should', 'like', 'to', 'speak', 'to', 'the', 'constable', 'who', 'found', 'the', 'body']"
A Study in Scarlet,Arthur Conan Doyle,"['Can', 'you', 'give', 'me', 'his', 'name', 'and', 'address', 'Lestrade', 'glanced', 'at', 'his', 'note', 'book']"
A Study in Scarlet,Arthur Conan Doyle,"['John', 'Rance', 'he', 'said']"
A Study in Scarlet,Arthur Conan Doyle,"['He', 'is', 'off', 'duty', 'now']"
A Study in Scarlet,Arthur Conan Doyle,"['You', 'will', 'find', 'him', 'at', 'Audley', 'Court', 'Kennington', 'Park', 'Gate', 'Holmes', 'took', 'a', 'note', 'of', 'the', 'address']"
A Study in Scarlet,Arthur Conan Doyle,"['Come', 'along', 'Doctor', 'he', 'said', 'we', 'shall', 'go', 'and', 'look', 'him', 'up']"
A Study in Scarlet,Arthur Conan Doyle,"['I', 'll', 'tell', 'you', 'one', 'thing', 'which', 'may', 'help', 'you', 'in', 'the', 'case', 'he', 'continued', 'turning', 'to', 'the', 'two', 'detectives']"
A Study in Scarlet,Arthur Conan Doyle,"['There', 'has', 'been', 'murder', 'done', 'and', 'the', 'murderer', 'was', 'a', 'man']"
A Study in Scarlet,Arthur Conan Doyle,"['He', 'was', 'more', 'than', 'six', 'feet', 'high', 'was', 'in', 'the', 'prime', 'of', 'life', 'had', 'small', 'feet', 'for', 'his', 'height', 'wore', 'coarse', 'square', 'toed', 'boots', 'and', 'smoked', 'a', 'Trichinopoly', 'cigar']"
A Study in Scarlet,Arthur Conan Doyle,"['He', 'came', 'here', 'with', 'his', 'victim', 'in', 'a', 'four', 'wheeled', 'cab', 'which', 'was', 'drawn', 'by', 'a', 'horse', 'with', 'three', 'old', 'shoes', 'and', 'one', 'new', 'one', 'on', 'his', 'off', 'fore', 'leg']"
A Study in Scarlet,Arthur Conan Doyle,"['In', 'all', 'probability', 'the', 'murderer', 'had', 'a', 'florid', 'face', 'and', 'the', 'finger', 'nails', 'of', 'his', 'right', 'hand', 'were', 'remarkably', 'long']"
A Study in Scarlet,Arthur Conan Doyle,"['These', 'are', 'only', 'a', 'few', 'indications', 'but', 'they', 'may', 'assist', 'you', 'Lestrade', 'and', 'Gregson', 'glanced', 'at', 'each', 'other', 'with', 'an', 'incredulous', 'smile']"
A Study in Scarlet,Arthur Conan Doyle,"['If', 'this', 'man', 'was', 'murdered', 'how', 'was', 'it', 'done', 'asked', 'the', 'former']"
A Study in Scarlet,Arthur Conan Doyle,"['Poison', 'said', 'Sherlock', 'Holmes', 'curtly', 'and', 'strode', 'off']"
A Study in Scarlet,Arthur Conan Doyle,"['One', 'other', 'thing', 'Lestrade', 'he', 'added', 'turning', 'round', 'at', 'the', 'door', 'Rache', 'is', 'the', 'German', 'for', 'revenge', 'so', 'don', 't', 'lose', 'your', 'time', 'looking', 'for', 'Miss', 'Rachel', 'With', 'which', 'Parthian', 'shot', 'he', 'walked', 'away', 'leaving', 'the', 'two', 'rivals', 'open', 'mouthed', 'behind', 'him']"
A Study in Scarlet,Arthur Conan Doyle,"['CHAPTER', 'IV']"
A Study in Scarlet,Arthur Conan Doyle,"['WHAT', 'JOHN', 'RANCE', 'HAD', 'TO', 'TELL']"
A Study in Scarlet,Arthur Conan Doyle,"['IT', 'was', 'one', 'o', 'clock', 'when', 'we', 'left', 'No']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['He', 'lived', 'with', 'a', 'faithful', 'servant', 'a', 'countryman', 'of', 'his', 'own', 'who', 'looked', 'after', 'all', 'his', 'needs']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['This', 'fellow', 'could', 'speak', 'English', 'and', 'did', 'his', 'housekeeping', 'for', 'him']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['Then', 'there', 'was', 'a', 'wonderful', 'cook', 'he', 'said', 'a', 'half', 'breed', 'whom', 'he', 'had', 'picked', 'up', 'in', 'his', 'travels', 'who', 'could', 'serve', 'an', 'excellent', 'dinner']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'remember', 'that', 'he', 'remarked', 'what', 'a', 'queer', 'household', 'it', 'was', 'to', 'find', 'in', 'the', 'heart', 'of', 'Surrey', 'and', 'that', 'I', 'agreed', 'with', 'him', 'though', 'it', 'has', 'proved', 'a', 'good', 'deal', 'queerer', 'than', 'I', 'thought']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'drove', 'to', 'the', 'place', 'about', 'two', 'miles', 'on', 'the', 'south', 'side', 'of', 'Esher']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['The', 'house', 'was', 'a', 'fair', 'sized', 'one', 'standing', 'back', 'from', 'the', 'road', 'with', 'a', 'curving', 'drive', 'which', 'was', 'banked', 'with', 'high', 'evergreen', 'shrubs']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['It', 'was', 'an', 'old', 'tumbledown', 'building', 'in', 'a', 'crazy', 'state', 'of', 'disrepair']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['When', 'the', 'trap', 'pulled', 'up', 'on', 'the', 'grass', 'grown', 'drive', 'in', 'front', 'of', 'the', 'blotched', 'and', 'weather', 'stained', 'door', 'I', 'had', 'doubts', 'as', 'to', 'my', 'wisdom', 'in', 'visiting', 'a', 'man', 'whom', 'I', 'knew', 'so', 'slightly']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['He', 'opened', 'the', 'door', 'himself', 'however', 'and', 'greeted', 'me', 'with', 'a', 'great', 'show', 'of', 'cordiality']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'was', 'handed', 'over', 'to', 'the', 'manservant', 'a', 'melancholy', 'swarthy', 'individual', 'who', 'led', 'the', 'way', 'my', 'bag', 'in', 'his', 'hand', 'to', 'my', 'bedroom']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['The', 'whole', 'place', 'was', 'depressing']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['Our', 'dinner', 'was', 't', 'te', 't', 'te', 'and', 'though', 'my', 'host', 'did', 'his', 'best', 'to', 'be', 'entertaining', 'his', 'thoughts', 'seemed', 'to', 'continually', 'wander', 'and', 'he', 'talked', 'so', 'vaguely', 'and', 'wildly', 'that', 'I', 'could', 'hardly', 'understand', 'him']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['He', 'continually', 'drummed', 'his', 'fingers', 'on', 'the', 'table', 'gnawed', 'his', 'nails', 'and', 'gave', 'other', 'signs', 'of', 'nervous', 'impatience']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['The', 'dinner', 'itself', 'was', 'neither', 'well', 'served', 'nor', 'well', 'cooked', 'and', 'the', 'gloomy', 'presence', 'of', 'the', 'taciturn', 'servant', 'did', 'not', 'help', 'to', 'enliven', 'us']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'can', 'assure', 'you', 'that', 'many', 'times', 'in', 'the', 'course', 'of', 'the', 'evening', 'I', 'wished', 'that', 'I', 'could', 'invent', 'some', 'excuse', 'which', 'would', 'take', 'me', 'back', 'to', 'Lee']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['One', 'thing', 'comes', 'back', 'to', 'my', 'memory', 'which', 'may', 'have', 'a', 'bearing', 'upon', 'the', 'business', 'that', 'you', 'two', 'gentlemen', 'are', 'investigating']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'thought', 'nothing', 'of', 'it', 'at', 'the', 'time']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['Near', 'the', 'end', 'of', 'dinner', 'a', 'note', 'was', 'handed', 'in', 'by', 'the', 'servant']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'noticed', 'that', 'after', 'my', 'host', 'had', 'read', 'it', 'he', 'seemed', 'even', 'more', 'distrait', 'and', 'strange', 'than', 'before']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['He', 'gave', 'up', 'all', 'pretence', 'at', 'conversation', 'and', 'sat', 'smoking', 'endless', 'cigarettes', 'lost', 'in', 'his', 'own', 'thoughts', 'but', 'he', 'made', 'no', 'remark', 'as', 'to', 'the', 'contents']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['About', 'eleven', 'I', 'was', 'glad', 'to', 'go', 'to', 'bed']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['Some', 'time', 'later', 'Garcia', 'looked', 'in', 'at', 'my', 'door', 'the', 'room', 'was', 'dark', 'at', 'the', 'time', 'and', 'asked', 'me', 'if', 'I', 'had', 'rung']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'said', 'that', 'I', 'had', 'not']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['He', 'apologised', 'for', 'having', 'disturbed', 'me', 'so', 'late', 'saying', 'that', 'it', 'was', 'nearly', 'one', 'o', 'clock']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'dropped', 'off', 'after', 'this', 'and', 'slept', 'soundly', 'all', 'night']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['And', 'now', 'I', 'come', 'to', 'the', 'amazing', 'part', 'of', 'my', 'tale']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['When', 'I', 'woke', 'it', 'was', 'broad', 'daylight']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'glanced', 'at', 'my', 'watch', 'and', 'the', 'time', 'was', 'nearly', 'nine']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'had', 'particularly', 'asked', 'to', 'be', 'called', 'at', 'eight', 'so', 'I', 'was', 'very', 'much', 'astonished', 'at', 'this', 'forgetfulness']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['I', 'sprang', 'up', 'and', 'rang', 'for', 'the', 'servant']"
His Last Bow An Epilogue of Sherlock Holmes,Arthur Conan Doyle,"['There', 'was', 'no', 'response']"
